"gene","status","n_tissue_errors"
"AKIRIN1","finished",0
"AKIRIN2","finished",0
"AKNA","finished",0
"AKNAD1","finished",0
"AKR1A1","finished",0
"AKR1B1","finished",0
"AKR1B10","finished",0
"AKR1B15","finished",0
"AKR1C1","finished",0
"AKR1C2","finished",0
"AKR1C3","finished",0
"AKR1C4","finished",0
"AKR1C8P","finished",0
"AKR1D1","finished",0
"AKR1E2","finished",0
"AKR7A2","finished",0
"AKR7A3","finished",0
"AKT1","finished",0
"AKT1S1","finished",0
"AKT2","finished",0
"AKT3","finished",0
"AKTIP","finished",0
"ALAD","finished",0
"ALAS1","finished",0
"ALAS2","gene_error",0
"ALB","finished",0
"ALCAM","finished",0
"ALDH16A1","finished",0
"ALDH18A1","finished",0
"ALDH1A1","finished",0
"ALDH1A2","finished",0
"ALDH1A3","finished",0
"ALDH1B1","finished",0
"ALDH1L1","finished",0
"ALDH1L2","finished",0
"ALDH2","finished",0
"ALDH3A1","finished",0
"ALDH3A2","finished",0
"ALDH3B1","finished",0
"ALDH3B2","finished",0
"ALDH4A1","finished",0
"ALDH5A1","finished",0
"ALDH6A1","finished",0
"ALDH7A1","finished",0
"ALDH8A1","finished",0
"ALDH9A1","finished",0
"ALDOA","finished",0
"ALDOB","finished",0
"ALDOC","finished",0
"ALG1","finished",0
"ALG10","finished",0
"ALG10B","finished",0
"ALG11","finished",0
"ALG12","finished",0
"ALG13","gene_error",0
"ALG14","finished",0
"ALG1L","finished",0
"ALG1L2","finished",0
"ALG2","finished",0
"ALG3","finished",0
"ALG5","finished",0
"ALG6","finished",0
"ALG8","finished",0
"ALG9","finished",0
"ALK","finished",0
"ALKAL1","finished",0
"ALKAL2","finished",0
"ALKBH1","finished",0
"ALKBH2","finished",0
"ALKBH3","finished",0
"ALKBH4","finished",0
"ALKBH5","finished",0
"ALKBH6","finished",0
"ALKBH7","finished",0
"ALKBH8","finished",0
"ALLC","finished",0
"ALMS1","finished",0
"ALOX12","finished",0
"ALOX12B","finished",0
"ALOX15","finished",0
"ALOX15B","finished",0
"ALOX5","finished",0
"ALOX5AP","finished",0
"ALOXE3","finished",0
"ALPI","finished",0
"ALPK1","finished",0
"ALPK2","finished",0
"ALPK3","finished",0
"ALPL","finished",0
"ALPP","finished",0
"ALS2","finished",0
"ALS2CL","finished",0
"ALX1","finished",0
"ALX3","finished",0
"ALX4","finished",0
"ALYREF","finished",0
"AMACR","finished",0
"AMBN","finished",0
"AMBP","finished",0
"AMBRA1","finished",0
